编号,模块,用例标题,优先级,前置条件,操作步骤,预期结果,预期截图,实际结果,实际截图,状态,备注
SMK-11,多选,"checkbox 选中触发 SelectionModeBar",P0,"有搜索结果","1. Hover 卡片左上角
2. 点击 checkbox","① Hover 出现 checkbox
② 点击后卡片选中（不弹详情）
③ 底部 SelectionModeBar 出现
④ 卡片位置无抖动","SMK-11-① 选中态+Bar.png",,,⚪ 未测,关联 KNOWN-PITFALLS#SelectionModeBar抖动
SMK-12,服务器,"右上角服务器信息",P0,"已登录","1. 观察右上角服务器/认证状态","① 显示当前服务器实例信息
② 无『未检测到服务器』提示
③ 无连接错误红色提示","SMK-12-① 服务器信息.png",,,⚪ 未测,
SMK-13,i18n,"中文模式无英文残留",P0,"语言为中文","1. 滚动浏览所有可见文案（搜索框、按钮、tooltip、toast）","① 所有可见文案为中文
② 无 i18n key 暴露
③ 长中文不溢出/截断","SMK-13-① 文案对照.png",,,⚪ 未测,
SMK-14,部署,"wss 连接成功",P0,"已登录","1. F12 → Network → WS","① 看到 wss:// 连接
② 状态 101 Switching Protocols
③ 无红色 WebSocket Error","SMK-14-① WS 连接.png",,,⚪ 未测,关联 KNOWN-PITFALLS#SERVER_MAPPING
SMK-15,部署,"控制台无红色 Error",P0,"完成上述全部用例","1. F12 → Console
2. 滚动到底","① 无红色 Error（warning 可接受）
② 重点检查 wss 与 SERVER_MAPPING 相关","SMK-15-① Console 截图.png",,,⚪ 未测,
M1-P0-01,搜索核心,"输入关键词回车返回结果",P0,"已登录","1. 输入任意关键词
2. 回车","① 返回结果列表
② 结果数 > 0 时显示 total
③ ≤2s 完成","M1-P0-01-① 搜索结果.png",,,⚪ 未测,
M1-P0-02,搜索核心,"空关键词搜索",P0,"搜索框为空","1. 不输入直接点搜索","① 有默认行为或提示
② 不报错 / 不白屏","M1-P0-02-① 空搜索状态.png",,,⚪ 未测,
M1-P0-03,搜索核心,"分页 首页→下一页→上一页",P0,"结果数 > 50","1. 滚动/点击下一页
2. 再回到上一页","① 翻页正常
② 数据无重复/丢失","M1-P0-03-① 分页翻页对照.png",,,⚪ 未测,
M1-P0-04,搜索核心,"limit 参数生效",P0,"无","1. 默认 limit 50 → 检查
2. 改为 10 → 检查
3. 改为 100 → 检查","① 结果数与 limit 一致","M1-P0-04-① 不同 limit 对照.png",,,⚪ 未测,
M1-P0-05,搜索核心,"URL 参数同步与刷新恢复",P0,"已搜索","1. 搜索后观察 URL
2. 刷新页面","① URL 含 query 参数
② 刷新后搜索状态自动恢复","M1-P0-05-① URL+刷新前后.png",,,⚪ 未测,
M1-P0-06,搜索核心,"以图搜图 拖拽",P0,"无","1. 从桌面拖拽图片到搜索框","① 图片预览出现
② 返回相似结果","M1-P0-06-① 拖拽预览.png",,,⚪ 未测,
M1-P0-07,搜索核心,"以图搜图 相机图标上传",P0,"无","1. 点击相机图标
2. 选择本地图","① 上传后返回结果","M1-P0-07-① 上传结果.png",,,⚪ 未测,
M1-P0-08,搜索核心,"清除图片恢复文本搜索",P0,"已上传图片","1. 点击预览 X","① 图片清除
② 恢复纯文本搜索状态","M1-P0-08-① 清除前后.png",,,⚪ 未测,
M1-P1-01,搜索核心,"快速连续搜索只显示最后一次",P1,"无","1. 输入 A → 立即输入 B","① 只显示 B 的结果，无 A 的脏数据","M1-P1-01-① 最后一次结果.png",,,⚪ 未测,
M1-P1-02,搜索核心,"网络超时/后端报错有提示",P1,"可断网或后端 mock 500","1. 触发请求失败","① 有清晰错误提示（toast 或行内）
② 不静默失败","M1-P1-02-① 错误提示.png",,,⚪ 未测,
M1-P1-03,搜索核心,"特殊字符搜索",P1,"无","1. 搜索 中文/空格/引号/&","① 全部正常工作 不报错","M1-P1-03-① 特殊字符结果.png",,,⚪ 未测,
M1-P1-04,搜索核心,"embedding_knn_search_method 切换",P1,"无","1. 切换 exact ↔ approximate","① 切换生效 结果有变化","M1-P1-04-① 两种方法对照.png",,,⚪ 未测,
M1-P1-05,搜索核心,"图片+文本组合搜索",P1,"无","1. 上传图片 + 输入文本
2. 搜索","① 返回综合结果","M1-P1-05-① 组合结果.png",,,⚪ 未测,
M1-P1-06,搜索核心,"搜索历史 下拉显示",P1,"已搜索过几次","1. 聚焦搜索框","① 下拉出现历史记录","M1-P1-06-① 历史下拉.png",,,⚪ 未测,
M1-P1-07,搜索核心,"搜索历史 点击复用",P1,"历史下拉已展开","1. 点击任意历史项","① 自动填入并触发搜索","M1-P1-07-① 复用结果.png",,,⚪ 未测,
M1-P1-08,搜索核心,"搜索历史 删除单条/清除全部",P1,"历史下拉已展开","1. 单条删除
2. 清除全部","① 单条删除生效
② 全部清除生效","M1-P1-08-① 删除前后.png",,,⚪ 未测,
M1-P1-09,搜索核心,"搜索历史上限 10 条",P1,"无","1. 累计搜索 11 次以上","① 仅保留最近 10 条
② 最早的被删除","M1-P1-09-① 上限验证.png",,,⚪ 未测,
M2-P0-01,过滤器,"文件扩展名过滤 include/exclude",P0,"无","1. include=usd
2. exclude=jpg","① 结果均为 usd 后缀
② 不含 jpg","M2-P0-01-① 扩展名结果.png",,,⚪ 未测,
M2-P0-02,过滤器,"路径过滤 search_path",P0,"无","1. 输入 search_path","① 结果均在该路径下","M2-P0-02-① 路径结果.png",,,⚪ 未测,
M2-P0-03,过滤器,"日期过滤 created_after/before",P0,"无","1. 设定时间范围","① 结果创建时间在范围内","M2-P0-03-① 日期过滤.png",,,⚪ 未测,
M2-P0-04,过滤器,"尺寸过滤 file_size_greater_than/less_than",P0,"无","1. 设定大小范围","① 结果文件大小在范围内","M2-P0-04-① 尺寸过滤.png",,,⚪ 未测,
M2-P0-05,过滤器,"标签过滤",P0,"无","1. 选中某标签","① 结果均含该标签","M2-P0-05-① 标签过滤.png",,,⚪ 未测,
M2-P0-06,过滤器,"多过滤器组合 AND",P0,"无","1. 同时使用 ≥2 个过滤器","① 结果同时满足全部条件","M2-P0-06-① 组合结果.png",,,⚪ 未测,
M2-P0-07,过滤器,"清除过滤器恢复全量",P0,"已设置过滤器","1. 点击清除","① 结果恢复全量","M2-P0-07-① 清除前后.png",,,⚪ 未测,
M2-P0-08,过滤器,"分类侧边栏发送 filter_by_tags",P0,"无","1. 点击二级分类","① payload 含 filter_by_tags
② 结果对应","M2-P0-08-① payload.png",,,⚪ 未测,
M2-P0-09,过滤器,"所有产品 清除分类",P0,"已选分类","1. 点击『所有产品』","① 分类过滤清除
② 结果恢复全量","M2-P0-09-① 清除分类.png",,,⚪ 未测,
M2-P0-10,过滤器,"二级分类点击生效",P0,"无","1. 展开一级 → 点二级","① 二级 tag 应用到结果","M2-P0-10-① 二级分类.png",,,⚪ 未测,
M2-P1-01,过滤器,"维度过滤 bbox",P1,"无","1. 设置 bbox_x/y/z 范围","① 结果尺寸符合","M2-P1-01-① bbox 结果.png",,,⚪ 未测,
M2-P1-02,过滤器,"用户过滤 created_by/modified_by",P1,"无","1. 输入用户名","① 结果均由该用户创建/修改","M2-P1-02-① 用户过滤.png",,,⚪ 未测,
M2-P1-03,过滤器,"filter_url_regexp 正则",P1,"无","1. 输入正则","① 结果 URL 匹配正则","M2-P1-03-① 正则结果.png",,,⚪ 未测,
M2-P1-04,过滤器,"deduplicate_by_hash 去重",P1,"无","1. 开启去重","① 同 hash 资产仅一份","M2-P1-04-① 去重前后.png",,,⚪ 未测,
M2-P1-05,过滤器,"similarity/cutoff_threshold 边界",P1,"无","1. 输入 0/1/超界值","① 边界正确处理
② 不报错","M2-P1-05-① 边界值.png",,,⚪ 未测,
M2-P1-06,过滤器,"过滤器记忆 刷新保持",P1,"已设过滤器","1. 刷新页面","① 过滤器状态保持","M2-P1-06-① 刷新前后.png",,,⚪ 未测,
M2-P1-07,过滤器,"MemoryChip 显示活跃数",P1,"已设多个过滤器","1. 观察 MemoryChip","① 显示当前活跃过滤器数量正确","M2-P1-07-① MemoryChip.png",,,⚪ 未测,
M2-P1-08,过滤器,"自定义参数记忆+快捷选择",P1,"无","1. 输入 500-2000 自定义值
2. 观察快捷选择列表","① 快捷列表新增此项
② 上限 10 个，超出删除最早","M2-P1-08-① 快捷列表.png",,,⚪ 未测,
M2-P1-09,过滤器,"分类 URL 参数刷新保持",P1,"无","1. 选分类 → 刷新","① ?category=xxx 刷新后保持","M2-P1-09-① URL 保持.png",,,⚪ 未测,
M2-P1-10,过滤器,"前进/后退 分类状态跟随",P1,"无","1. 浏览器后退/前进","① 分类状态正确切换","M2-P1-10-① 前后退.png",,,⚪ 未测,
M3-P0-01,结果展示,"Grid 视图缩略图网格",P0,"有结果","1. 切到 Grid","① 网格布局正确","M3-P0-01-① Grid.png",,,⚪ 未测,
M3-P0-02,结果展示,"List 视图列表",P0,"有结果","1. 切到 List","① 列表布局正确","M3-P0-02-① List.png",,,⚪ 未测,
M3-P0-03,结果展示,"Grid 大小 L/S 切换",P0,"Grid 模式","1. 切换 L/S","① 卡片尺寸切换
② 布局不错乱","M3-P0-03-① L vs S.png",,,⚪ 未测,
M3-P0-04,结果展示,"仅显示有预览图开关",P0,"无","1. 开启开关","① 仅显示有缩略图的资产","M3-P0-04-① 开关前后.png",,,⚪ 未测,
M3-P0-05,结果展示,"点击卡片打开详情",P0,"有结果","1. 单击卡片","① 弹出详情模态框","M3-P0-05-① 详情.png",,,⚪ 未测,
M3-P0-06,结果展示,"结果数量与实际一致",P0,"有结果","1. 对比标题数与列表项数","① 一致","M3-P0-06-① 对比.png",,,⚪ 未测,
M3-P0-07,结果展示,"卡片 hover 效果",P0,"有结果","1. Hover 卡片","① 有阴影/高亮反馈","M3-P0-07-① Hover 态.png",,,⚪ 未测,
M3-P1-01,结果展示,"虚拟滚动",P1,"结果 > 50","1. 快速滚动","① 不白屏 不丢项","M3-P1-01-① 滚动.png",,,⚪ 未测,
M3-P1-02,结果展示,"0 结果空状态",P1,"搜索一个不存在的词","1. 触发空结果","① EmptySearchHint 出现","M3-P1-02-① 空状态.png",,,⚪ 未测,
M3-P1-03,结果展示,"分数显示开关",P1,"无","1. 开启 showScores","① 每卡片显示 relevance score","M3-P1-03-① 分数.png",,,⚪ 未测,
M3-P1-04,结果展示,"长文件名截断+tooltip",P1,"无","1. Hover 长文件名","① 截断显示
② tooltip 完整路径","M3-P1-04-① 截断.png",,,⚪ 未测,
M3-P1-05,结果展示,"加载中 skeleton",P1,"网络较慢","1. 触发搜索","① 显示 skeleton/spinner","M3-P1-05-① skeleton.png",,,⚪ 未测,
M3-P1-06,结果展示,"标签 badge 显示",P1,"结果含标签","1. 观察卡片","① badge 正确显示","M3-P1-06-① badge.png",,,⚪ 未测,
M4-P0-01,图片加载,"缩略图正常加载",P0,"有结果","1. 观察缩略图","① 全部正常加载（非灰图）","M4-P0-01-① 缩略图.png",,,⚪ 未测,
M4-P0-02,图片加载,"三级缓存生效",P0,"无","1. 第一次加载某图
2. 离开页面再回来","① 第二次加载更快
② DevTools 显示来自缓存","M4-P0-02-① 缓存命中.png",,,⚪ 未测,
M4-P0-03,图片加载,"无缩略图显示 placeholder",P0,"有无缩略图资产","1. 观察该资产","① 显示 placeholder 不报错","M4-P0-03-① placeholder.png",,,⚪ 未测,
M4-P1-01,图片加载,"清 IndexedDB 后重新拉取",P1,"无","1. F12 清除 IndexedDB
2. 刷新","① 图片从 API 重新加载","M4-P1-01-① 清缓存后.png",,,⚪ 未测,
M4-P1-02,图片加载,"大量结果懒加载",P1,"结果 > 50","1. 快速滚动","① 懒加载正常 不卡顿","M4-P1-02-① 懒加载.png",,,⚪ 未测,
M4-P1-03,图片加载,"加载失败 FailedBadge",P1,"可造一张坏图 url","1. 观察该卡片","① FailedBadge 显示","M4-P1-03-① FailedBadge.png",,,⚪ 未测,
M4-P1-04,图片加载,"缓存过期自动刷新",P1,"长时间未操作","1. 静置后回来","① 过期图自动刷新","M4-P1-04-① 过期刷新.png",,,⚪ 未测,
M5-P0-01,详情,"模态框打开显示资产信息",P0,"有结果","1. 点击卡片","① 名称/路径/属性正确显示","M5-P0-01-① 详情.png",,,⚪ 未测,
M5-P0-02,详情,"详情缩略图正常",P0,"无","1. 打开详情","① 缩略图清晰加载","M5-P0-02-① 详情图.png",,,⚪ 未测,
M5-P0-03,详情,"标签列表正确",P0,"该资产有标签","1. 打开详情","① 标签全部展示","M5-P0-03-① 标签列表.png",,,⚪ 未测,
M5-P0-04,详情,"添加标签立即出现",P0,"详情已开","1. 输入新标签 → 回车","① 立即出现在列表","M5-P0-04-① 新增.png",,,⚪ 未测,
M5-P0-05,详情,"删除标签立即移除",P0,"已有标签","1. 点击标签 X","① 立即从列表消失","M5-P0-05-① 删除.png",,,⚪ 未测,
M5-P0-06,详情,"关闭弹窗卡片标签同步",P0,"已增删","1. 关闭弹窗 观察卡片","① 卡片 badge 同步更新","M5-P0-06-① 卡片同步.png",,,⚪ 未测,
M5-P0-07,详情,"Reindex 按钮触发成功",P0,"无","1. 点击 Reindex","① 触发请求 200
② 有反馈","M5-P0-07-① Reindex.png",,,⚪ 未测,
M5-P1-01,详情,"标签输入自动补全",P1,"globalTags 已加载","1. 输入字符","① 显示候选下拉","M5-P1-01-① 自动补全.png",,,⚪ 未测,
M5-P1-02,详情,"添加重复标签处理",P1,"无","1. 添加已存在的标签","① 不重复添加
② 有合理提示","M5-P1-02-① 重复处理.png",,,⚪ 未测,
M5-P1-03,详情,"特殊字符标签",P1,"无","1. 添加含空格/中文/符号的标签","① 全部正常","M5-P1-03-① 特殊字符.png",,,⚪ 未测,
M5-P1-04,详情,"网络断开时增删错误提示",P1,"可断网","1. 断网后操作","① 显示错误 toast/弹窗","M5-P1-04-① 错误提示.png",,,⚪ 未测,
M5-P1-05,详情,"资产属性展示完整",P1,"无","1. 查看 dimensions/file_size/created_by","① 全部展示且格式正确","M5-P1-05-① 属性.png",,,⚪ 未测,
M5-P1-06,详情,"USD 属性展示",P1,"USD 资产","1. 查看 USD 属性区域","① 正确显示","M5-P1-06-① USD 属性.png",,,⚪ 未测,
M5-P1-07,详情,"依赖关系展示",P1,"含依赖资产","1. 查看 dependencies","① 列表正确","M5-P1-07-① 依赖.png",,,⚪ 未测,
M5-P1-08,详情,"复制资产路径",P1,"无","1. 点击复制按钮","① 路径复制到剪贴板
② 有 toast 反馈","M5-P1-08-① 复制反馈.png",,,⚪ 未测,
M6-P0-01,标签,"globalTags 加载完成",P0,"已登录","1. 等待 globalTags 请求完成","① TagsFilter 列表非空","M6-P0-01-① 加载.png",,,⚪ 未测,
M6-P0-02,标签,"TagsFilter 选中过滤正确",P0,"无","1. 选中某标签","① 结果按 tag 过滤","M6-P0-02-① 过滤.png",,,⚪ 未测,
M6-P0-03,标签,"详情增删同步 globalTags 缓存",P0,"无","1. 详情中增删
2. 关闭后看 TagsFilter","① 缓存已同步","M6-P0-03-① 同步.png",,,⚪ 未测,
M6-P0-04,标签,"FabToolbar 标签筛选联动",P0,"无","1. 在 FabToolbar 选标签","① 与全局过滤同步","M6-P0-04-① FabToolbar.png",,,⚪ 未测,
M6-P0-05,标签,"候选标签点击添加",P0,"详情打开","1. 点击候选标签 chip","① 添加到当前资产 不影响其他","M6-P0-05-① 候选添加.png",,,⚪ 未测,
M6-P0-06,标签,"部署环境 tag 增删",P0,"部署环境 / 隐私模式","1. 增删标签","① 全部成功（非静默失败）","M6-P0-06-① 部署增删.png",,,⚪ 未测,关联 KNOWN-PITFALLS#Tag线上静默失败
M6-P0-07,标签,"新增标签出现在搜索结果 tag 字段",P0,"已新增标签","1. 重新搜索","① 新标签出现在结果 tag","M6-P0-07-① 新标签.png",,,⚪ 未测,
M6-P1-01,标签,"globalTags 为空空状态",P1,"无标签数据","1. 观察 TagsFilter","① 友好空状态提示","M6-P1-01-① 空.png",,,⚪ 未测,
M6-P1-02,标签,"大量标签性能",P1,"标签 > 100","1. 滚动 TagsFilter","① 不卡顿","M6-P1-02-① 性能.png",,,⚪ 未测,
M6-P1-03,标签,"批量打标签",P1,"BATCH_TAGGING flag 开","1. 多选后批量打标签","① 全部成功","M6-P1-03-① 批量.png",,,⚪ 未测,
M6-P1-04,标签,"标签去重 不重复加权",P1,"搜索词含已选标签名","1. 触发搜索","① payload 标签去重 不双重影响 score","M6-P1-04-① 去重 payload.png",,,⚪ 未测,关联 KNOWN-PITFALLS#搜索关键词与标签重复加权
M6-P1-05,标签,"TaggedBadge 即时更新",P1,"无","1. 增删后观察 badge","① 实时更新","M6-P1-05-① badge 更新.png",,,⚪ 未测,
M6-P1-06,标签,"默认展开标签 section",P1,"详情打开","1. 观察标签 section","① 默认展开","M6-P1-06-① 展开.png",,,⚪ 未测,
M7-P0-01,目录树,"登录后目录树加载",P0,"已登录","1. 观察目录树","① 正常加载非空","M7-P0-01-① 加载.png",,,⚪ 未测,
M7-P0-02,目录树,"点击节点 search_path 触发搜索",P0,"无","1. 点击节点","① search_path 填入
② 搜索触发","M7-P0-02-① 触发.png",,,⚪ 未测,
M7-P0-03,目录树,"搜索结果动态注入路径",P0,"无","1. 搜索后看树","① 树结构动态扩展路径节点","M7-P0-03-① 动态注入.png",,,⚪ 未测,
M7-P0-04,目录树,"未登录显示静态骨架",P0,"未登录","1. 观察树","① 显示 fallback 骨架 不报错","M7-P0-04-① fallback.png",,,⚪ 未测,
M7-P1-01,目录树,"展开/折叠交互",P1,"无","1. 点击节点展开","① 正常切换","M7-P1-01-① 展开折叠.png",,,⚪ 未测,
M7-P1-02,目录树,"大目录性能",P1,"节点 > 100","1. 展开大目录","① 不卡顿","M7-P1-02-① 性能.png",,,⚪ 未测,
M7-P1-03,目录树,"加载失败 banner 提示",P1,"可断网","1. 触发失败","① 显示错误 banner","M7-P1-03-① 错误.png",,,⚪ 未测,
M7-P1-04,目录树,"节点资产计数正确",P1,"无","1. 查看节点计数","① 与实际一致","M7-P1-04-① 计数.png",,,⚪ 未测,
M7-P1-05,目录树,"PathTreeBrowser 搜索/过滤",P1,"无","1. 输入过滤词","① 过滤生效","M7-P1-05-① 过滤.png",,,⚪ 未测,
M8-P0-01,认证,"Basic Auth 登录后可搜索",P0,"无","1. 登录 → 搜索","① 搜索正常","M8-P0-01-① 登录后搜索.png",,,⚪ 未测,
M8-P0-02,认证,"登出 → 未认证状态",P0,"已登录","1. 点击登出","① 状态变未认证","M8-P0-02-① 登出.png",,,⚪ 未测,
M8-P0-03,认证,"刷新后保持登录",P0,"已登录","1. 刷新","① 仍登录态","M8-P0-03-① 刷新.png",,,⚪ 未测,
M8-P0-04,认证,"?server=nucleus 参数生效",P0,"无","1. URL 加 ?server=nucleus","① 后端切换正确","M8-P0-04-① 参数.png",,,⚪ 未测,
M8-P0-05,认证,"未认证搜索公共数据",P0,"未登录","1. 搜索","① 公共数据返回","M8-P0-05-① 公共.png",,,⚪ 未测,
M8-P0-06,认证,"Token 过期弹窗引导",P0,"清空 token","1. 触发过期请求","① 弹窗提示重新登录（非 toast）","M8-P0-06-① 过期弹窗.png",,,⚪ 未测,关联 KNOWN-PITFALLS#Token过期
M8-P0-07,认证,"未登录搜索弹登录引导",P0,"未登录","1. 搜索","① 弹出登录引导","M8-P0-07-① 引导.png",,,⚪ 未测,
M8-P0-08,认证,"自动检测后端",P0,"无","1. 加载页面","① 后端探测请求成功","M8-P0-08-① 探测.png",,,⚪ 未测,
M8-P0-09,认证,"清除令牌跳转登录界面",P0,"已登录","1. 清除令牌","① 自动跳登录","M8-P0-09-① 跳转.png",,,⚪ 未测,
M8-P1-01,认证,"Device Flow 认证",P1,"ENABLE_NUCLEUS_AUTH=true","1. 走 Device Flow","① 认证成功","M8-P1-01-① DeviceFlow.png",,,⚪ 未测,
M8-P1-02,认证,"API Key 认证",P1,"无","1. 配 API Key","① 认证成功","M8-P1-02-① APIKey.png",,,⚪ 未测,
M8-P1-03,认证,"多服务器切换状态不混乱",P1,"无","1. nucleus → 其他 → 回来","① 状态正确","M8-P1-03-① 切换.png",,,⚪ 未测,
M8-P1-04,认证,"认证过期自动重认证",P1,"无","1. 模拟过期","① 自动续签","M8-P1-04-① 续签.png",,,⚪ 未测,
M8-P1-05,认证,"x-usdsearch-storage-backend header",P1,"无","1. F12 → Network","① 请求带正确 header","M8-P1-05-① header.png",,,⚪ 未测,
M8-P1-06,认证,"URL 别名兼容",P1,"无","1. ?server=omniverse","① 等同 nucleus","M8-P1-06-① 别名.png",,,⚪ 未测,
M8-P1-07,认证,"后端不可达错误处理",P1,"模拟后端 down","1. 加载页面","① 不白屏 有提示","M8-P1-07-① 不可达.png",,,⚪ 未测,
M9-P0-01,多选,"单击=查看详情",P0,"无","1. 单击卡片","① 弹详情","M9-P0-01-① 单击.png",,,⚪ 未测,
M9-P0-02,多选,"双击=查看详情（兼容）",P0,"无","1. 双击卡片","① 弹详情","M9-P0-02-① 双击.png",,,⚪ 未测,
M9-P0-03,多选,"Hover 出现 checkbox",P0,"无","1. Hover 左上角","① checkbox 出现","M9-P0-03-① Hover.png",,,⚪ 未测,
M9-P0-04,多选,"点击 checkbox 选中（不弹详情）",P0,"无","1. 点击 checkbox","① 选中
② 不弹详情","M9-P0-04-① 选中.png",,,⚪ 未测,
M9-P0-05,多选,"选中后所有卡片点击=选中模式",P0,"已选中 1 个","1. 点击其他卡片","① 直接选中 不弹详情","M9-P0-05-① 选中模式.png",,,⚪ 未测,
M9-P0-06,多选,"选中状态下双击仍可打开详情",P0,"选中模式","1. 双击其他卡片","① 弹详情","M9-P0-06-① 选中双击.png",,,⚪ 未测,关联 KNOWN-PITFALLS#选中后无法看详情
M9-P0-07,多选,"取消全部选中恢复单击=详情",P0,"已多选","1. 清空选中
2. 单击","① 恢复单击=详情","M9-P0-07-① 取消选中.png",,,⚪ 未测,
M9-P0-08,多选,"SelectionModeBar 无抖动",P0,"无","1. 第一次选中","① 卡片位置不跳","M9-P0-08-① 无抖动.png",,,⚪ 未测,关联 KNOWN-PITFALLS#SelectionModeBar抖动
M9-P0-09,多选,"SelectionModeBar 覆盖筛选栏",P0,"已选中","1. 观察 Bar 与筛选栏","① 覆盖而非顶开
② 卡片不位移","M9-P0-09-① 覆盖.png",,,⚪ 未测,
M9-P0-10,多选,"多选状态禁用筛选切换",P0,"已选中","1. 尝试切换筛选器","① 禁用或合理拦截","M9-P0-10-① 禁用.png",,,⚪ 未测,
M9-P1-01,多选,"空白处拖拽=框选",P1,"无","1. 卡片间空白处拖拽","① 出现选框
② 选中范围内卡片","M9-P1-01-① 框选.png",,,⚪ 未测,关联 KNOWN-PITFALLS#拖拽多选
M9-P1-02,多选,"卡片内拖拽=选文本",P1,"无","1. 卡片标题处拖拽","① 选中文本 不框选","M9-P1-02-① 选文本.png",,,⚪ 未测,
M9-P1-03,多选,"Shift+点击 范围多选",P1,"已选 1 个","1. Shift+点击另一个","① 范围合并选中","M9-P1-03-① Shift.png",,,⚪ 未测,
M9-P1-04,多选,"无 Shift 点击=重新选择",P1,"已多选","1. 普通点击其他卡","① 重置为新选中","M9-P1-04-① 重选.png",,,⚪ 未测,
M9-P1-05,多选,"选中动画无延迟",P1,"无","1. 快速选 5 张","① 反馈流畅","M9-P1-05-① 流畅.png",,,⚪ 未测,关联 KNOWN-PITFALLS#动画延迟
M9-P1-06,多选,"checkbox 与 TaggedBadge 不重叠",P1,"无","1. Hover 含 badge 卡片","① 不重叠","M9-P1-06-① 不重叠.png",,,⚪ 未测,
M9-P1-07,多选,"卡片描边不出界",P1,"已选中","1. 观察描边","① 不超出卡片边界","M9-P1-07-① 描边.png",,,⚪ 未测,关联 KNOWN-PITFALLS#描边出界
M9-P1-08,多选,"翻页清除选中",P1,"已选中","1. 翻页","① 选中清空","M9-P1-08-① 翻页.png",,,⚪ 未测,
M9-P1-09,多选,"重新搜索清除选中",P1,"已选中","1. 重新搜索","① 选中清空","M9-P1-09-① 重新搜索.png",,,⚪ 未测,
M9-P1-10,多选,"键盘快捷键 Ctrl+A",P1,"无","1. 按 Ctrl+A","① 全选","M9-P1-10-① CtrlA.png",,,⚪ 未测,
M11-P0-01,i18n,"中文模式所有可见文案中文",P0,"中文","1. 浏览全部入口","① 全中文 无英文残留","M11-P0-01-① 文案.png",,,⚪ 未测,
M11-P0-02,i18n,"toast 中文",P0,"无","1. 触发 toast","① 中文","M11-P0-02-① toast.png",,,⚪ 未测,
M11-P0-03,i18n,"弹窗内文案中文化",P0,"无","1. 打开各弹窗","① 全中文","M11-P0-03-① 弹窗.png",,,⚪ 未测,
